City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,General Description
627,Tete,MZ,-16.1564,33.5867,73.49,68,75,8.05,smoke
628,Innisfail,AU,-17.5333,146.0333,69.01,74,95,9.46,overcast clouds
629,Calabozo,VE,8.9242,-67.4293,70.72,93,14,3.51,few clouds
630,Egvekinot,RU,66.3167,-179.1667,39.49,82,95,16.89,overcast clouds
631,Athens,GR,37.9795,23.7162,90.16,44,20,3.0,few clouds
632,Lamar,US,33.6668,-95.5836,76.66,87,1,6.91,clear sky
633,Boali,CF,4.8005,18.1275,75.07,90,100,3.15,light rain
634,Jinchang,CN,38.4953,102.1739,84.72,18,100,23.13,overcast clouds
635,Golden,US,39.7555,-105.2211,71.28,54,1,1.99,clear sky
636,San Jose,US,37.3394,-121.895,68.88,78,90,5.75,smoke
637,Malartic,CA,48.1335,-78.1328,53.71,95,100,6.55,overcast clouds
638,Isangel,VU,-19.55,169.2667,69.66,73,13,8.59,few clouds
639,Newport,GB,51.5877,-2.9984,62.46,83,92,16.08,overcast clouds
640,Cap Malheureux,MU,-19.9842,57.6142,75.69,65,46,8.99,scattered clouds
641,Waddan,LY,29.1614,16.139,97.9,10,0,2.48,clear sky
642,Naduvattam,IN,11.4833,76.5667,65.23,81,79,5.48,broken clouds
643,Santa Vitoria,BR,-18.8386,-50.1214,65.84,57,100,6.26,overcast clouds
644,Ayios Nikolaos,GR,38.4167,23.65,90.68,31,20,9.22,few clouds
645,Rexburg,US,43.826,-111.7897,53.58,82,20,0.0,mist
646,Chuncheng,CN,22.1731,111.7886,81.72,93,100,5.17,light rain
647,Mahajanga,MG,-15.7167,46.3167,84.22,37,0,10.36,clear sky
648,Waipawa,NZ,-41.4122,175.5153,45.23,82,86,4.21,overcast clouds
649,Lahti,RU,59.9911,30.1597,61.3,90,100,15.86,light rain
650,Imbituba,BR,-28.24,-48.6703,66.09,95,70,10.18,broken clouds
651,Debre Zeyit,ET,8.75,38.9833,70.97,60,96,5.73,light rain
652,Tecpan,GT,14.7623,-90.9947,53.37,98,100,2.98,overcast clouds
653,Hibbing,US,47.4272,-92.9377,61.57,94,90,0.0,overcast clouds
654,Strezhevoy,RU,60.7333,77.5889,67.98,47,4,6.67,clear sky
655,Kingisepp,RU,59.3733,28.6134,58.46,96,100,10.98,moderate rain
656,Port-Gentil,GA,-0.7193,8.7815,78.76,78,90,9.22,light rain
657,Hakui,JP,36.8833,136.7833,85.96,73,100,6.8,overcast clouds
658,Jiwani,PK,25.05,61.7417,83.55,80,36,10.02,scattered clouds
